time,dr_imu_x,dr_imu_y,dr_imu_theta
1747685958.9768546,[1.90704219],[0.51321257],[2.57012244]
1747685959.178474,[1.89022391],[0.52402746],[2.57012286]
1747685959.3795621,[1.8725647],[0.5353831],[2.57012417]
1747685959.5799716,[1.85658733],[0.54565721],[2.57012507]
1747685959.7790065,[1.83976902],[0.55647206],[2.5701255]
1747685959.9763474,[1.82210987],[0.56782761],[2.57012535]
1747685960.1957757,[1.80529154],[0.57864249],[2.57012473]
1747685960.3834598,[1.78931414],[0.58891662],[2.57012417]
1747685960.5804095,[1.77165494],[0.60027225],[2.57012353]
1747685960.7950814,[1.75567755],[0.6105464],[2.57012324]
1747685960.9968712,[1.73633638],[0.62298363],[2.57012275]
1747685961.1809604,[1.72204086],[0.63217627],[2.57012371]
1747685961.3764567,[1.70522257],[0.64299115],[2.57012458]
1747685961.5889056,[1.68840427],[0.65380601],[2.57012547]
1747685961.7877345,[1.67074503],[0.6651616],[2.57012634]
1747685962.10117,[1.65395099],[0.67601309],[2.5601591]
1747685962.1781695,[1.63735839],[0.68717158],[2.53974844]
1747685962.3895044,[1.62099012],[0.69865639],[2.51969429]
1747685962.5719657,[1.6056553],[0.70986726],[2.49982094]
1747685962.7982442,[1.58897891],[0.72262263],[2.47210464]
1747685963.017255,[1.57354817],[0.73533822],[2.43182605]
1747685963.185983,[1.56018472],[0.74082384],[2.41245817]
1747685963.385753,[1.54584839],[0.75475928],[2.34654375]
1747685963.5901568,[1.53152346],[0.77010445],[2.29057891]
1747685963.7806406,[1.51939257],[0.78471871],[2.2310485]
1747685963.9998093,[1.50699303],[0.80165804],[2.17409178]
1747685964.193715,[1.49614387],[0.81845125],[2.11818627]
1747685964.3877957,[1.4863736],[0.83589004],[2.04445099]
1747685964.6010888,[1.47790812],[0.85399755],[1.9708578]
1747685964.7819226,[1.47108837],[0.87171861],[1.89407892]
1747685964.9759877,[1.46548112],[0.89090535],[1.81358158]
1747685965.189371,[1.46120196],[0.91145515],[1.73325305]
1747685965.4001553,[1.4587355],[0.93129463],[1.69615829]
1747685965.600707,[1.45710023],[0.95120709],[1.62936637]
1747685965.8099341,[1.45621053],[0.97116555],[1.61411974]
1747685966.0005972,[1.45591736],[0.99014767],[1.57388219]
1747685966.287426,[1.45608425],[1.01113069],[1.55217973]
1747685966.4057617,[1.4565335],[1.03110962],[1.53294802]
1747685966.6010363,[1.45759689],[1.05106945],[1.51499953]
1747685966.7827153,[1.4588241],[1.07001409],[1.49736282]
1747685966.998907,[1.46054688],[1.09092525],[1.47835648]
1747685967.1822693,[1.46249033],[1.10980876],[1.45620811]
1747685967.4086747,[1.46516127],[1.13062066],[1.42587493]
1747685967.705037,[1.46840789],[1.15034056],[1.38384797]
1747685967.8469143,[1.47097698],[1.16307499],[1.32982694]
1747685968.1017785,[1.47790571],[1.18812879],[1.24272044]
1747685968.2005348,[1.48401449],[1.20403136],[1.1883341]
1747685968.3820162,[1.49395581],[1.22587008],[1.11265711]
1747685968.613375,[1.50344716],[1.24343716],[1.03699369]
1747685968.797009,[1.5142329],[1.26022565],[0.96108551]
1747685968.991683,[1.52564975],[1.27534549],[0.88773348]
1747685969.1799676,[1.53953625],[1.2909879],[0.8149221]
1747685969.4046357,[1.55358694],[1.30506695],[0.74285383]
1747685969.6255887,[1.56868531],[1.31799752],[0.67365344]
1747685969.8251326,[1.58462608],[1.32984526],[0.64330449]
1747685970.0087168,[1.6014228],[1.340532],[0.53838032]
1747685970.2075052,[1.6189208],[1.35011006],[0.47556575]
1747685970.4841316,[1.63693954],[1.35871012],[0.41367515]
1747685970.6029274,[1.65533567],[1.36656217],[0.41111944]
1747685970.7990646,[1.67326843],[1.37295586],[0.32440422]
1747685971.020016,[1.6933495],[1.3791163],[0.26895507]
1747685971.2260768,[1.71357137],[1.38410368],[0.2417713]
1747685971.4244204,[1.73222363],[1.3877356],[0.19793007]
1747685971.59637,[1.74411519],[1.38940844],[0.14331465]
1747685971.8247287,[1.74411536],[1.38940742],[0.14260415]
1747685972.0277367,[1.74411536],[1.38940742],[0.14259818]
1747685972.2070792,[1.74411535],[1.38940741],[0.14260519]
1747685972.4021566,[1.74411535],[1.38940742],[0.14261247]
1747685972.5999932,[1.74411535],[1.38940742],[0.14261974]
1747685972.807236,[1.74411535],[1.38940741],[0.14262338]
1747685973.0192387,[1.74411535],[1.38940742],[0.14263456]
1747685973.1980948,[1.74411536],[1.38940742],[0.142642]
1747685973.3951218,[1.74411536],[1.38940742],[0.14264933]
1747685973.5963151,[1.74411537],[1.38940742],[0.14265319]
1747685973.7959592,[1.74411536],[1.38940742],[0.14266431]
1747685974.1156452,[1.74411535],[1.38940741],[0.14267158]
1747685974.2172437,[1.74411535],[1.38940742],[0.14267889]
1747685974.3869147,[1.74411535],[1.38940742],[0.14268665]
1747685974.5934017,[1.74411899],[1.38940795],[0.16112327]
1747685974.8149498,[1.74411963],[1.38940807],[0.18136977]
1747685975.0087726,[1.74401481],[1.38938722],[0.19111896]
1747685975.20723,[1.74362304],[1.3893037],[0.20987795]
1747685975.397417,[1.7431884],[1.38920315],[0.23587165]
1747685975.6168487,[1.74296372],[1.38914833],[0.26087595]
1747685975.8275697,[1.7429732],[1.38915072],[0.29635975]
1747685976.0068529,[1.74297356],[1.38915087],[0.33628381]
1747685976.1949902,[1.74297387],[1.38915098],[0.37536304]
1747685976.4088311,[1.74297418],[1.38915111],[0.41586441]
1747685976.6037922,[1.74297382],[1.38915093],[0.45472585]
1747685976.823279,[1.74300453],[1.38916663],[0.46947604]
1747685977.0014503,[1.74301222],[1.38917094],[0.52651032]
1747685977.2022934,[1.74301286],[1.3891713],[0.5691567]
1747685977.4776075,[1.74301249],[1.38917105],[0.61262689]
1747685977.62811,[1.74301413],[1.38917233],[0.65656257]
1747685977.8050199,[1.74306982],[1.38921641],[0.69349881]
1747685978.002597,[1.74306943],[1.38921607],[0.73301226]
1747685978.1953793,[1.74306911],[1.38921577],[0.75297255]
1747685978.4026108,[1.74306881],[1.38921547],[0.81269514]
1747685978.5953262,[1.74306855],[1.38921518],[0.83291368]
1747685978.80003,[1.74306833],[1.38921492],[0.89293642]
1747685979.0052297,[1.74306814],[1.38921468],[0.93263617]
1747685979.222765,[1.74306798],[1.38921445],[0.97314939]
1747685979.3934863,[1.74306789],[1.38921431],[1.01336502]
1747685979.5997229,[1.74306786],[1.38921427],[1.05293191]
1747685979.8002427,[1.74306785],[1.38921424],[1.07289309]
1747685980.0000303,[1.74306783],[1.38921421],[1.13307965]
1747685980.193886,[1.74306781],[1.38921416],[1.17286647]
1747685980.3911438,[1.74306778],[1.38921409],[1.21256627]
1747685980.6865964,[1.74306774],[1.38921397],[1.2528689]
1747685980.8096187,[1.74306769],[1.3892138],[1.29297706]
1747685980.9997766,[1.74306762],[1.38921356],[1.33298572]
